index,HIP,common name,spectral type,measured distance_ly,source
246,82651,Mahsati,K0,596.28,https://www.universeguide.com/star/82651/mahsati
247,17573,Maia,Giant Star B8III,360,https://www.universeguide.com/star/17573/maia
249,80883,Marfik,Giant Star B9/A0 III,166.16,https://www.universeguide.com/star/80883/marfik
250,113963,Markab,Giant Star B9.5III,139.62,https://www.universeguide.com/star/113963/markab
251,45941,Markeb,Spectroscopic Binary B2IV,539.11,https://www.universeguide.com/star/45941/kappavelorum
253,79043,Marsic,Giant Star G8III,388.29,https://www.universeguide.com/star/79043/marsic
254,112158,Matar,Spectroscopic Binary G2II-III...,214.86,https://www.universeguide.com/star/112158/matar
256,48329,Mebsuta,Variable Star A3mA6-A9,903.50,https://www.universeguide.com/star/32246/mebsuta
257,59774,Megrez,Main Sequence A3Vvar,81.44,https://www.universeguide.com/star/59774/megrez
258,26207,Meissa,Multiple Star System O,1055.54,https://www.universeguide.com/star/26207/meissa 
259,34088,Mekbuda,Supergiant Star G3Ibv SB,1169.04,https://www.universeguide.com/star/34088/mekbuda
260,42556,Meleph,Spectroscopic Binary Am,548.17,https://www.universeguide.com/star/42556/epsiloncancri
261,28360,Menkalinan,Main Sequence A2V,82.12,https://www.universeguide.com/star/28360/menkalinan
262,14135,Menkar,Giant Star M2III,220.08,https://www.universeguide.com/star/14135/menkar
263,68933,Menkent,Giant Star K0IIIb,60.94,https://www.universeguide.com/star/68933/menkent 
264,18614,Menkib,Supergiant Star O7.5Iab,1772.63,https://www.universeguide.com/star/18614/menchib
265,53910,Merak,Main Sequence A1V,79.42,https://www.universeguide.com/star/53910/merak
266,72487,Merga,Subgiant Star F7IVw,152.84,https://www.universeguide.com/star/72487/merga
267,94114,Meridiana,Main Sequence A0/A1V,129.69,https://www.universeguide.com/star/94114/alfeccameridiana
268,17608,Merope,Subgiant Star B6IV,359.21,https://www.universeguide.com/star/17608/merope
269,8832,Mesarthim,Multiple Star System A1p Si,204.36,https://www.universeguide.com/star/8832/mesarthim 
